,births
2012-01-01,4009.225
2012-01-02,4247.4
2012-01-03,4500.9
2012-01-04,4571.35
2012-01-05,4603.625
2012-01-06,4668.15
2012-01-07,4706.925
2012-01-08,4629.65
2012-01-09,4537.775
2012-01-10,4591.7
2012-01-11,4675.15
2012-01-12,4700.8
2012-01-13,4730.05
2012-01-14,4816.2
2012-01-15,4733.65
2012-01-16,4665.025
2012-01-17,4654.65
2012-01-18,4707.325
2012-01-19,4731.525
2012-01-20,4767.525
2012-01-21,4790.25
2012-01-22,4742.8
2012-01-23,4666.75
2012-01-24,4653.2
2012-01-25,4698.0
2012-01-26,4715.9
2012-01-27,4747.025
2012-01-28,4771.8
2012-01-29,4702.3
2012-01-30,4644.225
2012-01-31,4598.275
2012-02-01,4661.45
2012-02-02,4743.025
2012-02-03,4761.825
2012-02-04,4760.825
2012-02-05,4728.3
2012-02-06,4678.1
2012-02-07,4649.65
2012-02-08,4668.525
2012-02-09,4713.575
2012-02-10,4800.85
2012-02-11,4815.8
2012-02-12,4823.7
2012-02-13,4639.4
2012-02-14,4862.75
2012-02-15,4706.325
2012-02-16,4732.025
2012-02-17,4792.675
2012-02-18,4820.975
2012-02-19,4751.6
2012-02-20,4751.275
2012-02-21,4671.5
2012-02-22,4751.525
2012-02-23,4757.45
2012-02-24,4829.0
2012-02-25,4857.025
2012-02-26,4790.575
2012-02-27,4693.75
2012-02-28,4695.3
2012-02-29,4623.4
2012-03-01,4742.175
2012-03-02,4750.55
2012-03-03,4871.775
2012-03-04,4821.55
2012-03-05,4781.6
2012-03-06,4721.875
2012-03-07,4722.45
2012-03-08,4718.225
2012-03-09,4692.075
2012-03-10,4785.375
2012-03-11,4785.725
2012-03-12,4762.425
2012-03-13,4652.45
2012-03-14,4719.025
2012-03-15,4670.025
2012-03-16,4703.675
2012-03-17,4828.55
2012-03-18,4773.5
2012-03-19,4748.125
2012-03-20,4716.35
2012-03-21,4722.875
2012-03-22,4667.2
2012-03-23,4697.2
2012-03-24,4725.05
2012-03-25,4773.65
2012-03-26,4722.825
2012-03-27,4680.85
2012-03-28,4694.65
2012-03-29,4665.025
2012-03-30,4663.425
2012-03-31,4723.25
2012-04-01,4623.825
2012-04-02,4743.825
2012-04-03,4652.925
2012-04-04,4679.525
2012-04-05,4586.825
2012-04-06,4642.85
2012-04-07,4689.85
2012-04-08,4712.025
2012-04-09,4649.875
2012-04-10,4610.675
2012-04-11,4609.95
2012-04-12,4590.8
2012-04-13,4559.475
2012-04-14,4680.125
2012-04-15,4702.9
2012-04-16,4656.45
2012-04-17,4604.4
2012-04-18,4633.5
2012-04-19,4582.7
2012-04-20,4591.275
2012-04-21,4656.425
2012-04-22,4686.7
2012-04-23,4643.725
2012-04-24,4581.15
2012-04-25,4602.25
2012-04-26,4588.5
2012-04-27,4571.95
2012-04-28,4656.55
2012-04-29,4613.25
2012-04-30,4615.1
2012-05-01,4651.275
2012-05-02,4616.7
2012-05-03,4570.225
2012-05-04,4577.0
2012-05-05,4687.3
2012-05-06,4678.95
2012-05-07,4658.95
2012-05-08,4623.75
2012-05-09,4608.85
2012-05-10,4623.175
2012-05-11,4652.2
2012-05-12,4699.05
2012-05-13,4661.65
2012-05-14,4670.9
2012-05-15,4678.525
2012-05-16,4661.45
2012-05-17,4626.725
2012-05-18,4673.875
2012-05-19,4721.75
2012-05-20,4806.925
2012-05-21,4725.8
2012-05-22,4713.5
2012-05-23,4721.1
2012-05-24,4689.125
2012-05-25,4661.925
2012-05-26,4657.75
2012-05-27,4738.15
2012-05-28,4671.65
2012-05-29,4704.05
2012-05-30,4601.175
2012-05-31,4597.05
2012-06-01,4751.475
2012-06-02,4804.65
2012-06-03,4783.275
2012-06-04,4744.475
2012-06-05,4706.875
2012-06-06,4771.85
2012-06-07,4681.05
2012-06-08,4681.95
2012-06-09,4784.275
2012-06-10,4831.375
2012-06-11,4773.625
2012-06-12,4746.25
2012-06-13,4671.425
2012-06-14,4724.45
2012-06-15,4750.475
2012-06-16,4858.35
2012-06-17,4863.6
2012-06-18,4816.275
2012-06-19,4768.975
2012-06-20,4831.275
2012-06-21,4751.175
2012-06-22,4795.625
2012-06-23,4850.55
2012-06-24,4897.525
2012-06-25,4890.925
2012-06-26,4853.975
2012-06-27,4852.325
2012-06-28,4862.975
2012-06-29,4881.65
2012-06-30,4981.6
2012-07-01,5021.975
2012-07-02,5021.45
2012-07-03,4869.425
2012-07-04,4335.325
2012-07-05,4698.825
2012-07-06,4984.5
2012-07-07,5153.425
2012-07-08,5159.8
2012-07-09,5075.4
2012-07-10,5041.3
2012-07-11,4982.225
2012-07-12,4936.675
2012-07-13,4932.4
2012-07-14,5106.0
2012-07-15,5140.125
2012-07-16,5092.75
2012-07-17,5046.525
2012-07-18,5000.3
2012-07-19,4969.85
2012-07-20,5057.55
2012-07-21,5087.35
2012-07-22,5135.675
2012-07-23,5092.275
2012-07-24,5036.05
2012-07-25,5029.325
2012-07-26,4998.7
2012-07-27,5070.25
2012-07-28,5133.525
2012-07-29,5151.9
2012-07-30,5101.225
2012-07-31,5045.275
2012-08-01,5068.0
2012-08-02,5008.525
2012-08-03,5065.25
2012-08-04,5087.95
2012-08-05,5108.0
2012-08-06,5110.925
2012-08-07,5082.675
2012-08-08,5153.575
2012-08-09,5027.775
2012-08-10,5083.375
2012-08-11,5104.225
2012-08-12,5177.625
2012-08-13,5076.3
2012-08-14,5096.75
2012-08-15,5106.5
2012-08-16,5047.8
2012-08-17,5074.9
2012-08-18,5148.0
2012-08-19,5153.4
2012-08-20,5141.1
2012-08-21,5082.2
2012-08-22,5058.85
2012-08-23,5007.05
2012-08-24,5035.2
2012-08-25,5107.675
2012-08-26,5167.5
2012-08-27,5124.7
2012-08-28,5099.775
2012-08-29,5062.0
2012-08-30,5027.85
2012-08-31,5048.65
2012-09-01,4908.325
2012-09-02,4982.0
2012-09-03,5003.925
2012-09-04,5013.4
2012-09-05,4954.6
2012-09-06,4955.0
2012-09-07,4995.45
2012-09-08,5165.475
2012-09-09,5263.4
2012-09-10,5214.5
2012-09-11,5151.95
2012-09-12,5160.825
2012-09-13,5073.875
2012-09-14,5204.275
2012-09-15,5255.35
2012-09-16,5322.875
2012-09-17,5281.575
2012-09-18,5246.675
2012-09-19,5261.5
2012-09-20,5248.275
2012-09-21,5271.9
2012-09-22,5316.825
2012-09-23,5320.425
2012-09-24,5284.05
2012-09-25,5240.0
2012-09-26,5250.65
2012-09-27,5190.15
2012-09-28,5168.45
2012-09-29,5218.825
2012-09-30,5224.775
2012-10-01,5167.325
2012-10-02,5103.625
2012-10-03,5067.375
2012-10-04,5005.175
2012-10-05,5025.075
2012-10-06,5048.1
2012-10-07,5024.1
2012-10-08,4989.875
2012-10-09,4945.425
2012-10-10,4975.975
2012-10-11,4854.375
2012-10-12,4893.425
2012-10-13,4865.875
2012-10-14,4934.05
2012-10-15,4919.45
2012-10-16,4828.45
2012-10-17,4818.85
2012-10-18,4751.625
2012-10-19,4782.85
2012-10-20,4832.825
2012-10-21,4862.675
2012-10-22,4810.25
2012-10-23,4755.5
2012-10-24,4758.775
2012-10-25,4744.35
2012-10-26,4788.05
2012-10-27,4821.35
2012-10-28,4826.1
2012-10-29,4775.575
2012-10-30,4745.05
2012-10-31,4662.8
2012-11-01,4729.8
2012-11-02,4727.15
2012-11-03,4821.775
2012-11-04,4849.4
2012-11-05,4808.075
2012-11-06,4758.475
2012-11-07,4783.175
2012-11-08,4752.75
2012-11-09,4784.125
2012-11-10,4836.3
2012-11-11,4845.3
2012-11-12,4791.025
2012-11-13,4732.825
2012-11-14,4782.15
2012-11-15,4751.525
2012-11-16,4774.45
2012-11-17,4842.4
2012-11-18,4865.3
2012-11-19,4844.375
2012-11-20,4819.375
2012-11-21,4800.825
2012-11-22,4601.9
2012-11-23,4650.65
2012-11-24,4647.125
2012-11-25,4649.8
2012-11-26,4587.25
2012-11-27,4511.55
2012-11-28,4590.775
2012-11-29,4676.725
2012-11-30,4765.475
2012-12-01,4836.5
2012-12-02,4830.3
2012-12-03,4758.5
2012-12-04,4718.725
2012-12-05,4734.675
